,Pore_Size
KIPYEP,3.7305075566777535
VIBPIH,3.2940516597010965
POZJOE,3.211991548586824
BACXUB,3.412475431464622
XUCTOF,2.9583860507137345
POBBOZ,3.8915804840275583
HEFJIP,3.4356521678421763
PECROF,3.5360827018029797
DAWSOL,3.852706008961224
CUGKUK,3.5194601393537503
OCOVIN,3.3912839584067864
XOWNOM,3.1858219165187776
FUBMIY,3.117696584805696
POVSUP,3.19169111026047
LEJLAP,3.2982568244211343
SISBUU,3.7708866357184405
WEKPOV,3.0863894909648155
ENANAJ,3.722853002012118
RAHYUU01,3.0235227336661055
RAHYUU,2.9974225806064805
VIQTIZ,3.126605253308124
WICJAT,3.769831861500664
BIMBEF,3.3818519837827816
